#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 11047, 5,KE9CTZ,    -0.30, 3,   boost,   -1.01, 100225.00,   91.97,   -0.25,    0.00, 18.1, 4.19, 4.17, 4.03,   9.76,   0.57,   0.08,   0.21,   0.32,   0.23,  -0.34,  -0.01,   0.75,   2.97, 4.18, 0.00, 0.00, 0.00, 4.20, 1, 1,  9,  40.3885336, -87.5141538,   219.0, 2025, 10, 25, 19, 28, 31,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0,  0, 25, 25,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0,  0, 29,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30, 25, 39, 27,  0, 35, 22
6, 11047, 5,KE9CTZ,    -0.29, 3,   boost,   -0.00, 100225.00,   91.97,   -0.25,    0.00, 18.1, 4.19, 4.17, 4.03,   9.79,   0.45,  -0.19,  -2.11,   0.08,   0.17,  -0.34,  -0.01,   0.75,   2.97, 4.18, 0.00, 0.00, 0.00, 4.20, 1, 1,  9,  40.3885336, -87.5141538,   219.0, 2025, 10, 25, 19, 28, 31,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0,  0, 25, 25,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0,  0, 29,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30, 25, 39, 27,  0, 35, 22
6, 11047, 5,KE9CTZ,    -0.28, 3,   boost,   -0.50, 100225.00,   91.97,   -0.25,    0.00, 18.1, 4.19, 4.17, 4.03,   9.79,   0.27,  -0.33,  -1.31,   0.08,   0.04,  -0.34,  -0.01,   0.75,   2.97, 4.18, 0.00, 0.00, 0.00, 4.20, 1, 1,  9,  40.3885336, -87.5141538,   219.0, 2025, 10, 25, 19, 28, 31,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0,  0, 25, 25,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0,  0, 29,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30, 25, 39, 27,  0, 35, 22
6, 11047, 5,KE9CTZ,    -0.27, 3,   boost,   -0.00, 100227.00,   91.80,   -0.42,    0.00, 18.1, 4.19, 4.17, 4.03,   9.89,   0.32,  -0.26,   0.64,   0.20,  -0.14,  -0.34,  -0.01,   0.75,   2.97, 4.18, 0.00, 0.00, 0.00, 4.20, 1, 1,  9,  40.3885336, -87.5141538,   219.0, 2025, 10, 25, 19, 28, 31,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0,  0, 25, 25,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0,  0, 29,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30, 25, 39, 27,  0, 35, 22
6, 11047, 5,KE9CTZ,    -0.26, 3,   boost,   -2.51, 100227.00,   91.80,   -0.42,    0.00, 18.1, 4.19, 4.17, 4.03,   9.85,   0.45,  -0.19,   1.37,   0.56,  -0.20,  -0.34,  -0.02,   0.75,   2.97, 4.18, 0.00, 0.00, 0.00, 4.20, 1, 1,  9,  40.3885336, -87.5141538,   219.0, 2025, 10, 25, 19, 28, 31,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0,  0, 25, 25,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0,  0, 29,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30, 25, 39, 27,  0, 35, 22
6, 11047, 5,KE9CTZ,    -0.25, 3,   boost,   -0.00, 100229.00,   91.64,   -0.59,    0.00, 18.1, 4.19, 4.17, 4.03,   9.81,   0.57,  -0.11,   2.04,   0.14,   0.04,  -0.34,  -0.01,   0.75,   2.97, 4.18, 0.00, 0.00, 0.00, 4.20, 1, 1,  9,  40.3885336, -87.5141538,   219.0, 2025, 10, 25, 19, 28, 31,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0,  0, 25, 25,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0,  0, 29,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30, 25, 39, 27,  0, 35, 22
6, 11047, 5,KE9CTZ,    -0.24, 3,   boost,   -0.00, 100229.00,   91.64,   -0.59,    0.00, 18.1, 4.19, 4.17, 4.03,   9.79,   0.71,   0.05,   2.65,   0.20,  -0.14,  -0.34,  -0.01,   0.75,   2.97, 4.18, 0.00, 0.00, 0.00, 4.20, 1, 1,  9,  40.3885336, -87.5141538,   219.0, 2025, 10, 25, 19, 28, 31,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0,  0, 25, 25,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0,  0, 29,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30, 25, 39, 27,  0, 35, 22
6, 11047, 5,KE9CTZ,    -0.23, 3,   boost,   -2.01, 100227.00,   91.80,   -0.42,    0.00, 18.1, 4.19, 4.17, 4.03,   9.69,   0.79,   0.11,   1.62,   0.44,  -0.26,  -0.34,  -0.01,   0.75,   2.97, 4.18, 0.00, 0.00, 0.00, 4.20, 1, 1,  9,  40.3885336, -87.5141538,   219.0, 2025, 10, 25, 19, 28, 31,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0,  0, 25, 25,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0,  0, 29,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30, 25, 39, 27,  0, 35, 22
6, 11047, 5,KE9CTZ,    -0.22, 3,   boost,    1.51, 100227.00,   91.80,   -0.42,    0.00, 18.1, 4.19, 4.17, 4.03,   9.81,   0.65,   0.21,   0.15,   0.08,  -0.20,  -0.34,  -0.01,   0.75,   2.97, 4.18, 0.00, 0.00, 0.00, 4.20, 1, 1,  9,  40.3885336, -87.5141538,   219.0, 2025, 10, 25, 19, 28, 31,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0,  0, 25, 25,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0,  0, 29,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30, 25, 39, 27,  0, 35, 22
6, 11047, 5,KE9CTZ,    -0.21, 3,   boost,   -0.50, 100227.00,   91.80,   -0.42,    0.00, 18.1, 4.19, 4.17, 4.03,   9.87,   0.57,  -0.09,  -0.64,   0.26,  -0.08,  -0.34,  -0.01,   0.75,   2.97, 4.18, 0.00, 0.00, 0.00, 4.20, 1, 1,  9,  40.3885336, -87.5141538,   219.0, 2025, 10, 25, 19, 28, 31,        0,        0,   0,   0,   1.4,   0.8,   1.1,  0,  0, 25, 25,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0,  0, 29,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30, 25, 39, 27,  0, 35, 22
